record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
12,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",news_api,news_api,thechronicle.com.gh,,,2.6,260.0,260,54,41.6,10857.6
15,A New Study Challenges the Climate Establishment’s Key Warming Metric,news_api,news_api,globalresearch.ca,,,2.6,260.0,260,69,41.6,10857.6
16,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,news_api,news_api,paul tan's automotive news,,,2.6,260.0,260,102,41.6,10857.6
17,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,the times of india,,,2.6,260.0,260,63,41.6,10857.6
18,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,news_api,news_api,globenewswire,,,2.6,260.0,260,96,41.6,10857.6
136,"Samsung introduces Hearapy, an app that helps reduce motion sickness using sound",json,json,yugatech.com,,,2.6,260.0,260,80,41.6,10857.6
137,Royals #1 Preview: Telepathic Twins Gamble in Seoul's Underworld,json,json,bleeding cool news,,,2.6,260.0,260,64,41.6,10857.6
140,Economic Digest: Nepal’s Business News in a Snap,json,json,khabarhub.com,,,2.6,260.0,260,48,41.6,10857.6
144,Blackline Safety Announces 2026 Voting Results from Shareholders Meeting,json,json,financial post,,,2.6,260.0,260,72,41.6,10857.6
145,Toshiba Begins Sampling of 30-34 TB SMR Nearline Hard Disk Drives,json,json,financial post,,,2.6,260.0,260,65,41.6,10857.6
146,Ticket #64996 (Allow non-ASCII (Unicode) usernames) created,json,json,wordpress.org,,,2.6,260.0,260,59,41.6,10857.6
148,"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,digitimes,,,2.6,260.0,260,94,41.6,10857.6
177,Toyota is still trying to make hydrogen-fueled vehicles a reality,json,json,new atlas,,,2.6,260.0,260,65,41.6,10857.6
178,Observed and projected climate extremes in northwest highlands of Ethiopia and their implications in potato-based farming systems,json,json,nature.com,,,2.6,260.0,260,129,41.6,10857.6
179,Army Reaches Conditional Agreement with Private Industry for Hyperscaled Data Centers,json,json,soldiersystems.net,,,2.6,260.0,260,85,41.6,10857.6
180,Hollywood High Forever: Mitski’s Residency Shines a Fresh Light on the Famed School’s Rich Show-Biz History,json,json,variety,,,2.6,260.0,260,107,41.6,10857.6
182,Bitcoin And Ethereum Adoption Gets A Boost From Schwab Launch,json,json,newsbtc,,,2.6,260.0,260,61,41.6,10857.6
190,Red state city piles on charges for grandma arrested for crude costume at Trump protest,json,json,raw story,,,2.6,260.0,260,87,41.6,10857.6
433,SoftServe Launches New Brand Identity: ‘Technology Elevated’,json,json,financial post,,,2.6,260.0,260,60,41.6,10857.6
434,Billions Lost to Server Outages in 2025: Cloud Failures Cost Global Economy Hundreds of Billions,json,json,ibtimes.com.au,,,2.6,260.0,260,96,41.6,10857.6
438,F-35 Got Hit,json,json,shatterbelt.co,,,2.6,260.0,260,12,41.6,10857.6
439,IBFD and Vrije Universiteit Amsterdam Announce Launch of an Online Tax & Technology Certificate Programme,json,json,globenewswire,,,2.6,260.0,260,105,41.6,10857.6
440,"ANSR Announces Launch of ANSR MedTech, a Global Capability Center for High-Growth MedTech Leader",json,json,globenewswire,,,2.6,260.0,260,96,41.6,10857.6
442,GILDA Blu-ray Review: The Atypical Noir Gets a Fresh Restoration,json,json,screenanarchy.com,,,2.6,260.0,260,64,41.6,10857.6
446,Apple's Three-Year Plan to 'Reinvent' the iPhone is Underway,json,json,macrumors,,,2.6,260.0,260,60,41.6,10857.6
688,Crypto Long & Short: Asia’s digital asset crackdown: accountability gets personal,json,json,coindesk,,,2.6,260.0,260,81,41.6,10857.6
689,Sony's Super Bright True RGB TV Technology Is Turning Heads,json,json,hot hardware,,,2.6,260.0,260,59,41.6,10857.6
691,ADI Predictstreet Secures Gibraltar Regulatory Approval to Scale Its Data-Driven Forecasting Platform Globally,json,json,globenewswire,,,2.6,260.0,260,110,41.6,10857.6
692,"Microsoft acknowledges Windows 11’s search problems, working on a fix",json,json,pcworld,,,2.6,260.0,260,69,41.6,10857.6
694,When does a Samsung Galaxy tablet make the difference for your business?,json,json,samsung.com,,,2.6,260.0,260,72,41.6,10857.6
695,New York Times Guild Slams Paper’s AI Policies as ‘Woefully Inadequate’,json,json,thewrap,,,2.6,260.0,260,71,41.6,10857.6
696,(PR) Intel and SambaNova Advance Agentic AI with Xeon 6,json,json,techpowerup.com,,,2.6,260.0,260,55,41.6,10857.6
698,The Chicago underground rock community grieves engineer Simon Small,json,json,chicago reader,,,2.6,260.0,260,67,41.6,10857.6
699,Fiserv Hires JPMorgan Executive Adam Hyde to Lead Merchant Operations,json,json,pymnts.com,,,2.6,260.0,260,69,41.6,10857.6
701,UPSC Quiz – 2026 : IASbaba’s Daily Current Affairs Quiz 8th April 2026,json,json,iasbaba.com,,,2.6,260.0,260,70,41.6,10857.6
702,"Flow Cytometry Market Set to Surpass USD 12.19 Billion by 2035, Driven by Rising Demand for Precision Diagnostics – SNS Insider",json,json,globenewswire,,,2.6,260.0,260,127,41.6,10857.6
947,"NHRC member defends notice to MeitY, says child safety concerns override pending DPDP enforcement",json,json,the times of india,,,2.6,260.0,260,97,41.6,10857.6
948,Central government yet to notify selection panels for data protection board,json,json,the times of india,,,2.6,260.0,260,75,41.6,10857.6
949,Startups spot a cool opening as ACs become everyday need,json,json,the times of india,,,2.6,260.0,260,56,41.6,10857.6
950,Brain health startup Ivory develops 'treadmill test' for brain; focusses on cognitive health in India,json,json,the times of india,,,2.6,260.0,260,101,41.6,10857.6
951,Moving up the value chain proves costly as tech majors and GCCs slash jobs,json,json,the times of india,,,2.6,260.0,260,74,41.6,10857.6
953,Gatchaman #17 Preview: Science Ninjas Vs. Alien Nerds,json,json,bleeding cool news,,,2.6,260.0,260,53,41.6,10857.6
1202,HERE and KOTEI partner to build AI‑native navigation for the software‑defined vehicle era,json,json,globenewswire,,,2.6,260.0,260,89,41.6,10857.6
1203,Navy review puts future of highest-tech US aircraft carriers in question,json,json,freerepublic.com,,,2.6,260.0,260,72,41.6,10857.6
1205,"PITAKA Is Letting the World Design Its Next Phone Cases, Royalties Included. Here’s How To Participate",json,json,yanko design,,,2.6,260.0,260,102,41.6,10857.6
1208,Asked to work beyond office hours? Know your rights under new Labour Code,json,json,the times of india,,,2.6,260.0,260,73,41.6,10857.6
1209,"US State Dept orders global warning about alleged AI thefts by DeepSeek, other Chinese firms",json,json,the times of india,,,2.6,260.0,260,92,41.6,10857.6
1210,U.S. embassy signs MOU with Ilorin Innovation Hub for tech expansion,json,json,vanguard,,,2.6,260.0,260,68,41.6,10857.6
1211,iSpring to Showcase Cutting-Edge Water Filtration Solutions at WQA 2026 Expo,json,json,globenewswire,,,2.6,260.0,260,76,41.6,10857.6
1213,"DOHS Cares, TSM House partner to deploy digital tools against rising SGBV, femicide cases",json,json,vanguard,,,2.6,260.0,260,89,41.6,10857.6
119,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
159,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
200,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
456,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
712,Untitled record,word_run,word_run,unknown,,,2.58,258.0,258,15,41.28,10691.5
