record_id,primary_category,analysis_year,document_type_mysql,metric,value
715,word_run,,word_run,popularity,49.0
875,scraped_json_api,,scraped_json_api,popularity,49.0
971,word_run,,word_run,popularity,49.0
1131,scraped_json_api,,scraped_json_api,popularity,49.0
1227,word_run,,word_run,popularity,49.0
1387,scraped_json_api,,scraped_json_api,popularity,49.0
425,scraped_json_api,,scraped_json_api,popularity,47.0
681,scraped_json_api,,scraped_json_api,popularity,47.0
937,scraped_json_api,,scraped_json_api,popularity,47.0
1193,scraped_json_api,,scraped_json_api,popularity,47.0
1449,scraped_json_api,,scraped_json_api,popularity,47.0
121,word_run,,word_run,popularity,43.0
161,word_run,,word_run,popularity,43.0
202,word_run,,word_run,popularity,43.0
458,word_run,,word_run,popularity,43.0
714,word_run,,word_run,popularity,43.0
970,word_run,,word_run,popularity,43.0
1226,word_run,,word_run,popularity,43.0
393,scraped_json_api,,scraped_json_api,popularity,41.0
649,scraped_json_api,,scraped_json_api,popularity,41.0
905,scraped_json_api,,scraped_json_api,popularity,41.0
1161,scraped_json_api,,scraped_json_api,popularity,41.0
1417,scraped_json_api,,scraped_json_api,popularity,41.0
189,json,,json,popularity,36.0
409,scraped_json_api,,scraped_json_api,popularity,32.0
665,scraped_json_api,,scraped_json_api,popularity,32.0
921,scraped_json_api,,scraped_json_api,popularity,32.0
1177,scraped_json_api,,scraped_json_api,popularity,32.0
1433,scraped_json_api,,scraped_json_api,popularity,32.0
359,scraped_json_api,,scraped_json_api,popularity,31.0
615,scraped_json_api,,scraped_json_api,popularity,31.0
871,scraped_json_api,,scraped_json_api,popularity,31.0
1127,scraped_json_api,,scraped_json_api,popularity,31.0
1383,scraped_json_api,,scraped_json_api,popularity,31.0
398,scraped_json_api,,scraped_json_api,popularity,24.0
404,scraped_json_api,,scraped_json_api,popularity,24.0
654,scraped_json_api,,scraped_json_api,popularity,24.0
660,scraped_json_api,,scraped_json_api,popularity,24.0
910,scraped_json_api,,scraped_json_api,popularity,24.0
916,scraped_json_api,,scraped_json_api,popularity,24.0
1166,scraped_json_api,,scraped_json_api,popularity,24.0
1172,scraped_json_api,,scraped_json_api,popularity,24.0
1422,scraped_json_api,,scraped_json_api,popularity,24.0
1428,scraped_json_api,,scraped_json_api,popularity,24.0
376,scraped_json_api,,scraped_json_api,popularity,23.0
382,scraped_json_api,,scraped_json_api,popularity,23.0
632,scraped_json_api,,scraped_json_api,popularity,23.0
638,scraped_json_api,,scraped_json_api,popularity,23.0
888,scraped_json_api,,scraped_json_api,popularity,23.0
894,scraped_json_api,,scraped_json_api,popularity,23.0
1144,scraped_json_api,,scraped_json_api,popularity,23.0
1150,scraped_json_api,,scraped_json_api,popularity,23.0
1400,scraped_json_api,,scraped_json_api,popularity,23.0
1406,scraped_json_api,,scraped_json_api,popularity,23.0
396,scraped_json_api,,scraped_json_api,popularity,20.0
652,scraped_json_api,,scraped_json_api,popularity,20.0
908,scraped_json_api,,scraped_json_api,popularity,20.0
1164,scraped_json_api,,scraped_json_api,popularity,20.0
1420,scraped_json_api,,scraped_json_api,popularity,20.0
347,scraped_json_api,,scraped_json_api,popularity,19.0
414,scraped_json_api,,scraped_json_api,popularity,19.0
421,scraped_json_api,,scraped_json_api,popularity,19.0
603,scraped_json_api,,scraped_json_api,popularity,19.0
670,scraped_json_api,,scraped_json_api,popularity,19.0
677,scraped_json_api,,scraped_json_api,popularity,19.0
859,scraped_json_api,,scraped_json_api,popularity,19.0
926,scraped_json_api,,scraped_json_api,popularity,19.0
933,scraped_json_api,,scraped_json_api,popularity,19.0
1115,scraped_json_api,,scraped_json_api,popularity,19.0
1182,scraped_json_api,,scraped_json_api,popularity,19.0
1189,scraped_json_api,,scraped_json_api,popularity,19.0
1371,scraped_json_api,,scraped_json_api,popularity,19.0
1438,scraped_json_api,,scraped_json_api,popularity,19.0
1445,scraped_json_api,,scraped_json_api,popularity,19.0
344,scraped_json_api,,scraped_json_api,popularity,18.0
387,scraped_json_api,,scraped_json_api,popularity,18.0
400,scraped_json_api,,scraped_json_api,popularity,18.0
600,scraped_json_api,,scraped_json_api,popularity,18.0
643,scraped_json_api,,scraped_json_api,popularity,18.0
656,scraped_json_api,,scraped_json_api,popularity,18.0
856,scraped_json_api,,scraped_json_api,popularity,18.0
899,scraped_json_api,,scraped_json_api,popularity,18.0
912,scraped_json_api,,scraped_json_api,popularity,18.0
1112,scraped_json_api,,scraped_json_api,popularity,18.0
1155,scraped_json_api,,scraped_json_api,popularity,18.0
1168,scraped_json_api,,scraped_json_api,popularity,18.0
1368,scraped_json_api,,scraped_json_api,popularity,18.0
1411,scraped_json_api,,scraped_json_api,popularity,18.0
1424,scraped_json_api,,scraped_json_api,popularity,18.0
342,scraped_json_api,,scraped_json_api,popularity,17.0
349,scraped_json_api,,scraped_json_api,popularity,17.0
353,scraped_json_api,,scraped_json_api,popularity,17.0
360,scraped_json_api,,scraped_json_api,popularity,17.0
598,scraped_json_api,,scraped_json_api,popularity,17.0
605,scraped_json_api,,scraped_json_api,popularity,17.0
609,scraped_json_api,,scraped_json_api,popularity,17.0
616,scraped_json_api,,scraped_json_api,popularity,17.0
854,scraped_json_api,,scraped_json_api,popularity,17.0
861,scraped_json_api,,scraped_json_api,popularity,17.0
865,scraped_json_api,,scraped_json_api,popularity,17.0
872,scraped_json_api,,scraped_json_api,popularity,17.0
1110,scraped_json_api,,scraped_json_api,popularity,17.0
1117,scraped_json_api,,scraped_json_api,popularity,17.0
1121,scraped_json_api,,scraped_json_api,popularity,17.0
1128,scraped_json_api,,scraped_json_api,popularity,17.0
1366,scraped_json_api,,scraped_json_api,popularity,17.0
1373,scraped_json_api,,scraped_json_api,popularity,17.0
1377,scraped_json_api,,scraped_json_api,popularity,17.0
1384,scraped_json_api,,scraped_json_api,popularity,17.0
374,scraped_json_api,,scraped_json_api,popularity,16.0
377,scraped_json_api,,scraped_json_api,popularity,16.0
385,scraped_json_api,,scraped_json_api,popularity,16.0
389,scraped_json_api,,scraped_json_api,popularity,16.0
395,scraped_json_api,,scraped_json_api,popularity,16.0
630,scraped_json_api,,scraped_json_api,popularity,16.0
633,scraped_json_api,,scraped_json_api,popularity,16.0
641,scraped_json_api,,scraped_json_api,popularity,16.0
645,scraped_json_api,,scraped_json_api,popularity,16.0
651,scraped_json_api,,scraped_json_api,popularity,16.0
886,scraped_json_api,,scraped_json_api,popularity,16.0
889,scraped_json_api,,scraped_json_api,popularity,16.0
897,scraped_json_api,,scraped_json_api,popularity,16.0
901,scraped_json_api,,scraped_json_api,popularity,16.0
907,scraped_json_api,,scraped_json_api,popularity,16.0
1142,scraped_json_api,,scraped_json_api,popularity,16.0
1145,scraped_json_api,,scraped_json_api,popularity,16.0
1153,scraped_json_api,,scraped_json_api,popularity,16.0
1157,scraped_json_api,,scraped_json_api,popularity,16.0
1163,scraped_json_api,,scraped_json_api,popularity,16.0
1398,scraped_json_api,,scraped_json_api,popularity,16.0
1401,scraped_json_api,,scraped_json_api,popularity,16.0
1409,scraped_json_api,,scraped_json_api,popularity,16.0
1413,scraped_json_api,,scraped_json_api,popularity,16.0
1419,scraped_json_api,,scraped_json_api,popularity,16.0
62,excel_summary,,excel_summary,popularity,15.0
94,excel_summary,,excel_summary,popularity,15.0
134,excel_summary,,excel_summary,popularity,15.0
174,excel_summary,,excel_summary,popularity,15.0
215,excel_summary,,excel_summary,popularity,15.0
217,scraped_html,,scraped_html,popularity,15.0
218,scraped_html,,scraped_html,popularity,15.0
219,scraped_html,,scraped_html,popularity,15.0
220,scraped_html,,scraped_html,popularity,15.0
221,scraped_html,,scraped_html,popularity,15.0
222,scraped_html,,scraped_html,popularity,15.0
223,scraped_html,,scraped_html,popularity,15.0
224,scraped_html,,scraped_html,popularity,15.0
225,scraped_html,,scraped_html,popularity,15.0
226,scraped_html,,scraped_html,popularity,15.0
227,scraped_html,,scraped_html,popularity,15.0
228,scraped_html,,scraped_html,popularity,15.0
229,scraped_html,,scraped_html,popularity,15.0
230,scraped_html,,scraped_html,popularity,15.0
231,scraped_html,,scraped_html,popularity,15.0
232,scraped_html,,scraped_html,popularity,15.0
233,scraped_html,,scraped_html,popularity,15.0
234,scraped_html,,scraped_html,popularity,15.0
235,scraped_html,,scraped_html,popularity,15.0
236,scraped_html,,scraped_html,popularity,15.0
237,scraped_html,,scraped_html,popularity,15.0
238,scraped_html,,scraped_html,popularity,15.0
239,scraped_html,,scraped_html,popularity,15.0
240,scraped_html,,scraped_html,popularity,15.0
241,scraped_html,,scraped_html,popularity,15.0
242,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
243,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
244,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
245,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
246,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
247,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
248,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
249,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
250,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
251,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
252,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
253,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
254,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
255,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
256,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
257,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
258,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
259,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
260,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
261,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
262,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
263,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
264,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
265,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
266,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
267,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
268,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
269,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
270,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
271,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
272,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
273,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
274,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
275,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
276,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
277,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
278,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
279,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
280,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
281,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
282,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
283,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
284,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
285,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
286,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
287,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
288,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
289,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
290,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
291,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
292,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
293,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
294,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
295,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
296,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
297,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
298,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
299,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
300,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
301,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
302,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
303,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
304,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
305,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
306,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
307,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
308,scraped_html_paginated,,scraped_html_paginated,popularity,15.0
