record_id,title,document_type,category,rating_score,mentions,popularity,language,published_year
99,SWDC partners FTID to boost S’West rural devt,json,json,2.26,,226.0,unknown,
100,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",json,json,2.6,,260.0,unknown,
101,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,json,json,2.6,,260.0,unknown,
102,"Asian stocks rally as oil retreats, Fed in spotlight",json,json,2.6,,260.0,unknown,
103,Trump administration defends Anthropic blacklisting in US court,json,json,2.6,,260.0,unknown,
104,Economic Digest: Nepal’s Business News in a Snap,json,json,2.6,,260.0,unknown,
105,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",json,json,1.25,,125.0,unknown,
106,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",json,json,2.28,,228.0,unknown,
107,Heroes of Science and Fiction-TENOKE,json,json,2.6,,260.0,unknown,
108,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,json,json,2.6,,260.0,unknown,
109,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",json,json,2.6,,260.0,unknown,
110,Untitled record,pdf,pdf,10.0,,1019.0,unknown,
111,Untitled record,pdf,pdf,2.83,,283.0,unknown,
112,Untitled record,pdf_two_column,pdf_two_column,10.0,,2124.0,unknown,
113,Untitled record,pdf_two_column,pdf_two_column,3.6,,360.0,unknown,
114,Untitled record,word,word,10.0,,1080.0,unknown,
115,Untitled record,word_two_column,word_two_column,10.0,,1877.0,unknown,
116,Untitled record,word_run,word_run,0.5,,50.0,unknown,
117,Untitled record,word_run,word_run,0.7000000000000001,,70.0,unknown,
118,Untitled record,word_run,word_run,2.74,,274.0,unknown,
119,Untitled record,word_run,word_run,2.58,,258.0,unknown,
120,Untitled record,word_run,word_run,1.94,,194.0,unknown,
121,Untitled record,word_run,word_run,0.4299999999999999,,43.0,unknown,
122,Untitled record,word_run,word_run,0.49,,49.0,unknown,
123,Untitled record,word_run,word_run,1.28,,128.0,unknown,
124,Election Update,excel,Politics,4.0,34.0,34.0,unknown,2026.0
125,AI Market Growth,excel,Business,7.0,28.0,28.0,unknown,2026.0
126,Sports Highlights,excel,Sports,5.0,19.0,19.0,unknown,2026.0
127,Climate Policy Shift,excel,Politics,3.0,23.0,23.0,unknown,2026.0
128,Café Culture Trends,excel,Culture,6.0,14.0,14.0,unknown,2026.0
129,München Startup Round,excel,Technology,8.0,17.0,17.0,unknown,2026.0
130,Žurnal Election Pulse,excel,Politics,5.0,21.0,21.0,unknown,2026.0
131,Streaming Rights Watch,excel,Business,4.0,26.0,26.0,unknown,2026.0
132,Weekend Match Buzz,excel,Sports,7.0,31.0,31.0,unknown,2026.0
133,Inflation Briefing,excel,Business,2.0,22.0,22.0,unknown,2026.0
134,Untitled record,excel_summary,excel_summary,0.15,,15.0,unknown,
135,Untitled record,encoding_test,encoding_test,3.0,,300.0,unknown,
136,"Samsung introduces Hearapy, an app that helps reduce motion sickness using sound",json,json,2.6,,260.0,unknown,
137,Royals #1 Preview: Telepathic Twins Gamble in Seoul's Underworld,json,json,2.6,,260.0,unknown,
138,Here's How To Decipher The Different Grades Of Motor Oil,json,json,1.53,,153.0,unknown,
139,"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",json,json,0.73,,73.0,unknown,
140,Economic Digest: Nepal’s Business News in a Snap,json,json,2.6,,260.0,unknown,
141,Soil Health: How Deep It Goes & How to Improve It | growᴬᴳ,json,json,1.35,,135.0,unknown,
142,Kobo Libra 2 has better Kobo Remote connectivity,json,json,2.05,,205.0,unknown,
143,Mind games: How football stars are fuelling chess boom,json,json,1.83,,183.0,unknown,
144,Blackline Safety Announces 2026 Voting Results from Shareholders Meeting,json,json,2.6,,260.0,unknown,
145,Toshiba Begins Sampling of 30-34 TB SMR Nearline Hard Disk Drives,json,json,2.6,,260.0,unknown,
146,Ticket #64996 (Allow non-ASCII (Unicode) usernames) created,json,json,2.6,,260.0,unknown,
147,"Your Next Sleep Tracker Isn’t a Watch, It’s Your Bedside Lamp",json,json,2.1,,210.0,unknown,
148,"Commentary: AI drives global tech layoffs, but Intel, QNAP, and Realtek tell different stories",json,json,2.6,,260.0,unknown,
149,Hume Health Hume Band Claims Evaluated: Does It Work or Just Another AI-Powered Fitness Activity Tracker,json,json,1.47,,147.0,unknown,
150,Untitled record,pdf,pdf,10.0,,1019.0,unknown,
151,Untitled record,pdf,pdf,2.83,,283.0,unknown,
152,Untitled record,pdf_two_column,pdf_two_column,10.0,,2124.0,unknown,
153,Untitled record,pdf_two_column,pdf_two_column,3.6,,360.0,unknown,
154,Untitled record,word,word,10.0,,1080.0,unknown,
155,Untitled record,word_two_column,word_two_column,10.0,,1877.0,unknown,
156,Untitled record,word_run,word_run,0.5,,50.0,unknown,
157,Untitled record,word_run,word_run,0.7000000000000001,,70.0,unknown,
158,Untitled record,word_run,word_run,2.74,,274.0,unknown,
159,Untitled record,word_run,word_run,2.58,,258.0,unknown,
160,Untitled record,word_run,word_run,1.94,,194.0,unknown,
161,Untitled record,word_run,word_run,0.4299999999999999,,43.0,unknown,
162,Untitled record,word_run,word_run,0.49,,49.0,unknown,
163,Untitled record,word_run,word_run,1.28,,128.0,unknown,
164,Election Update,excel,Politics,4.0,34.0,34.0,unknown,2026.0
165,AI Market Growth,excel,Business,7.0,28.0,28.0,unknown,2026.0
166,Sports Highlights,excel,Sports,5.0,19.0,19.0,unknown,2026.0
167,Climate Policy Shift,excel,Politics,3.0,23.0,23.0,unknown,2026.0
168,Café Culture Trends,excel,Culture,6.0,14.0,14.0,unknown,2026.0
169,München Startup Round,excel,Technology,8.0,17.0,17.0,unknown,2026.0
170,Žurnal Election Pulse,excel,Politics,5.0,21.0,21.0,unknown,2026.0
171,Streaming Rights Watch,excel,Business,4.0,26.0,26.0,unknown,2026.0
172,Weekend Match Buzz,excel,Sports,7.0,31.0,31.0,unknown,2026.0
173,Inflation Briefing,excel,Business,2.0,22.0,22.0,unknown,2026.0
174,Untitled record,excel_summary,excel_summary,0.15,,15.0,unknown,
175,Untitled record,encoding_test,encoding_test,3.0,,300.0,unknown,
176,Tech4Dev names Abraham Akpan country manager,json,json,2.28,,228.0,unknown,
177,Toyota is still trying to make hydrogen-fueled vehicles a reality,json,json,2.6,,260.0,unknown,
178,Observed and projected climate extremes in northwest highlands of Ethiopia and their implications in potato-based farming systems,json,json,2.6,,260.0,unknown,
179,Army Reaches Conditional Agreement with Private Industry for Hyperscaled Data Centers,json,json,2.6,,260.0,unknown,
180,Hollywood High Forever: Mitski’s Residency Shines a Fresh Light on the Famed School’s Rich Show-Biz History,json,json,2.6,,260.0,unknown,
181,"RAKIA Achieves CMMC Level 1 Compliance, Expanding Access to U.S. Defense Contracts and Accelerating Federal Growth Strategy",json,json,0.92,,92.0,unknown,
