record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count,title_year_parentheses,title_any_year
421,unknown,,The Hateful Eight  ,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2015,2026-04-06 00:28:38.938,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-06 00:28:38.861406,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2015.0,,,2.0,1.0,False,,,The Hateful Eight  ,unknown,,19,19,0.19,The Hateful Eight  ,scraped_json_api,19.0,,,unknown,0.19,1.0,,
598,unknown,,The King's Speech,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2010,2026-04-09 15:22:02.905,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:50.143689,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2010.0,,,12.0,4.0,True,,,The King's Speech,unknown,,17,17,0.17,The King's Speech,scraped_json_api,17.0,,,unknown,0.17,1.0,,
600,unknown,,The Social Network,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2010,2026-04-09 15:22:02.906,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:50.143728,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2010.0,,,8.0,3.0,False,,,The Social Network,unknown,,18,18,0.18,The Social Network,scraped_json_api,18.0,,,unknown,0.18,1.0,,
601,unknown,,The Fighter,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2010,2026-04-09 15:22:02.907,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:50.143735,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2010.0,,,7.0,2.0,False,,,The Fighter,unknown,,11,11,0.1099999999999999,The Fighter,scraped_json_api,11.0,,,unknown,0.1099999999999999,1.0,,
606,unknown,,The Lost Thing,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2010,2026-04-09 15:22:02.910,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:50.143765,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2010.0,,,1.0,1.0,False,,,The Lost Thing,unknown,,14,14,0.14,The Lost Thing,scraped_json_api,14.0,,,unknown,0.14,1.0,,
608,unknown,,The Wolfman,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2010,2026-04-09 15:22:02.912,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:50.143777,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2010.0,,,1.0,1.0,False,,,The Wolfman,unknown,,11,11,0.1099999999999999,The Wolfman,scraped_json_api,11.0,,,unknown,0.1099999999999999,1.0,,
611,unknown,,The Artist,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.916,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603268,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,10.0,5.0,True,,,The Artist,unknown,,10,10,0.1,The Artist,scraped_json_api,10.0,,,unknown,0.1,1.0,,
613,unknown,,The Iron Lady,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.920,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603283,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,2.0,2.0,False,,,The Iron Lady,unknown,,13,13,0.13,The Iron Lady,scraped_json_api,13.0,,,unknown,0.13,1.0,,
614,unknown,,The Descendants,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.921,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603285,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,5.0,1.0,False,,,The Descendants,unknown,,15,15,0.15,The Descendants,scraped_json_api,15.0,,,unknown,0.15,1.0,,
615,unknown,,The Girl with the Dragon Tattoo,,,,https://www.scrapethissite.com/pages/ajax-javascript/?ajax=true&year=2011,2026-04-09 15:22:02.922,1.0,scraped_json_api,ajax_movies_api_results.json,,2026-04-09 15:21:52.603288,requests,,,,scraped_json_api,,,,,,,,,,,,,,,,,,,,2011.0,,,5.0,1.0,False,,,The Girl with the Dragon Tattoo,unknown,,31,31,0.31,The Girl with the Dragon Tattoo,scraped_json_api,31.0,,,unknown,0.31,1.0,,
